roi_idx,roi_name,mlp,cheb,gt,gcn,top_expert
0,Precentral_L,0.22907498827228298,0.25076031288156264,0.2838235897096721,0.23634113187526729,gt
1,Precentral_R,0.22385152680920317,0.25643571011431804,0.2779231667518616,0.24178961906340216,gt
2,Frontal_Sup_L,0.22188066362173525,0.2650826576274711,0.24498562582514502,0.2680510737292178,gcn
3,Frontal_Sup_R,0.21741882469746973,0.23841626961509904,0.2697159492156722,0.27444898288745384,gcn
4,Frontal_Sup_Orb_L,0.2152990328220578,0.24397473743596634,0.2649632194986591,0.27576303423999193,gcn
5,Frontal_Sup_Orb_R,0.21758139472116123,0.24708970084592893,0.26905699809650324,0.2662719279140621,gt
6,Frontal_Mid_L,0.22394039152891604,0.2615860506118118,0.2525215923979685,0.26195199032882593,gcn
7,Frontal_Mid_R,0.21475550735538657,0.24198147722265936,0.28033844555740234,0.26292459744137603,gt
8,Frontal_Mid_Orb_L,0.2170709776026862,0.25426458199689916,0.26528286082404,0.26338160183135567,gt
9,Frontal_Mid_Orb_R,0.21553306755694476,0.2508770197436407,0.2736599985268209,0.25992994145913556,gt
10,Frontal_Inf_Oper_L,0.21620292303624092,0.2639636847299415,0.2858733871540466,0.23396002839912067,gt
11,Frontal_Inf_Oper_R,0.1952454201973878,0.2679871771629755,0.28423899973367717,0.25252842322572483,gt
12,Frontal_Inf_Tri_L,0.2189080918377096,0.2611063534950281,0.2854344232322334,0.23455115107746868,gt
13,Frontal_Inf_Tri_R,0.21447001242792452,0.2523499453416118,0.28511200864593705,0.24806805264640164,gt
14,Frontal_Inf_Orb_L,0.22545685715876618,0.27683992045266287,0.2605167691196714,0.23718647949107283,cheb
15,Frontal_Inf_Orb_R,0.2264081138101491,0.2698234565459289,0.2566632542323756,0.2471051997952647,cheb
16,Rolandic_Oper_L,0.23295514314592658,0.26376139585460934,0.2733567718948637,0.22992671010169116,gt
17,Rolandic_Oper_R,0.2037017953086209,0.28408815663356285,0.27009965547106485,0.24211041755103446,cheb
18,Supp_Motor_Area_L,0.22889572178775613,0.26227883762353427,0.2766024427754538,0.23222302248725643,gt
19,Supp_Motor_Area_R,0.22972650700188302,0.258848537872364,0.27480154629651604,0.2366234308906964,gt
20,Olfactory_L,0.21542940666149188,0.25251845183310573,0.2653449174839181,0.26670724975985366,gcn
21,Olfactory_R,0.21122926696167363,0.2541349239937671,0.2667460838308582,0.26788975279052535,gcn
22,Frontal_Sup_Medial_L,0.22422912107272583,0.256104489909364,0.244840036545481,0.27482636805091587,gcn
23,Frontal_Sup_Medial_R,0.222391513744732,0.24123015564370465,0.2614260297510531,0.2749523204061892,gcn
24,Frontal_Mid_Orb_L,0.21813831546089865,0.23942140344675486,0.2610239055636641,0.28141639710633787,gcn
25,Frontal_Mid_Orb_R,0.21992103136205055,0.23687117672585822,0.25517176594827085,0.28803605005725635,gcn
26,Rectus_L,0.2146460796137909,0.24075562110194912,0.27025740564643563,0.27434091947295447,gcn
27,Rectus_R,0.2161734105124102,0.23923312679126665,0.26838463960916964,0.27620884553565606,gcn
28,Insula_L,0.2167068412164589,0.2746978792083728,0.2724317020990632,0.2361636037950392,cheb
29,Insula_R,0.21631540145192826,0.27304701139400533,0.2748820074386411,0.23575560235744947,gt
30,Cingulum_Ant_L,0.22046055973737272,0.2695944288914854,0.23814838292536797,0.2717966492493431,gcn
31,Cingulum_Ant_R,0.20883794612698742,0.2658813482561669,0.25017638543209475,0.27510434379438303,gcn
32,Cingulum_Mid_L,0.21889324815242323,0.26413934097274555,0.25303184753888613,0.26393558878403206,cheb
33,Cingulum_Mid_R,0.21490368750188257,0.25966487147591333,0.256627879069223,0.26880358691726414,gcn
34,Cingulum_Post_L,0.20944307405840268,0.257764699397149,0.23739373296886296,0.29539851244393883,gcn
35,Cingulum_Post_R,0.20635255484224915,0.2567009423653801,0.23941871098109654,0.2975278138727337,gcn
36,Hippocampus_L,0.2009286820501476,0.2894503752906601,0.25660286166451196,0.25301810228205346,cheb
37,Hippocampus_R,0.19789020272044391,0.286654242157162,0.25950865244323557,0.2559469249341395,cheb
38,ParaHippocampal_L,0.2141829255919952,0.2601746498764335,0.2661206281997941,0.25952182119929945,gt
39,ParaHippocampal_R,0.20842412297988866,0.2558789403214083,0.27537657349527656,0.26032038642601535,gt
40,Amygdala_L,0.20789868674882048,0.2865676149338871,0.26613842899149115,0.23939528896824105,cheb
41,Amygdala_R,0.20497035506096753,0.2833897585605646,0.2759195167522926,0.23572039633215247,cheb
42,Calcarine_L,0.21367005887743715,0.2560740326132093,0.2773457754935537,0.2529101625278399,gt
43,Calcarine_R,0.21646012559339597,0.25569959768614214,0.2791779217394916,0.24866237791327686,gt
44,Cuneus_L,0.21127013794400476,0.24506206007359863,0.2801923126756371,0.26347551659330143,gt
45,Cuneus_R,0.2122532030591717,0.24375321619309387,0.2811717985125331,0.2628218060383549,gt
46,Lingual_L,0.21327365789707606,0.2612777997727518,0.274676029364784,0.25077253734910643,gt
47,Lingual_R,0.2124534985655314,0.2612258479386181,0.27536641641870724,0.25095426358959894,gt
48,Occipital_Sup_L,0.21447447755120017,0.24457612014436103,0.282174482264302,0.2587749457785061,gt
49,Occipital_Sup_R,0.21004214166820823,0.24073215961069255,0.28427583540414836,0.26494989157110066,gt
50,Occipital_Mid_L,0.20951164475122055,0.24467357867336892,0.2830560282840357,0.2627587713204421,gt
51,Occipital_Mid_R,0.20402471324453106,0.23914527148008347,0.28774171312908076,0.26908833136806243,gt
52,Occipital_Inf_L,0.21218592683216195,0.2569730709512512,0.27529534687856577,0.25554567720595894,gt
53,Occipital_Inf_R,0.21025732130586328,0.25863661084856304,0.27831429494665816,0.2527917924445945,gt
54,Fusiform_L,0.21114185936265178,0.25500799599406004,0.2783010539102864,0.255549115600524,gt
55,Fusiform_R,0.20990737324411218,0.2515556091418514,0.2825413943304644,0.25599564611911774,gt
56,Postcentral_L,0.22686469303323076,0.25434339404493184,0.27387601746754214,0.24491591703195076,gt
57,Postcentral_R,0.21837255600597952,0.25341983807164353,0.2783858482907345,0.249821780563949,gt
58,Parietal_Sup_L,0.19323042780160904,0.25581210406569693,0.28322829548027606,0.26772919887459123,gt
59,Parietal_Sup_R,0.18697414198866139,0.2524872435764833,0.28675351707966296,0.27378512270651856,gt
60,Parietal_Inf_L,0.20079275307717262,0.24825857734525358,0.30104597416016965,0.24990271776914597,gt
61,Parietal_Inf_R,0.1976556358012286,0.2451452488055477,0.29280831210024943,0.26439082341921794,gt
62,SupraMarginal_L,0.20843064746299347,0.2781683099153754,0.27183937242665845,0.24156169390136545,cheb
63,SupraMarginal_R,0.19848390871828253,0.270107955321089,0.28149820380396656,0.24990995557277235,gt
64,Angular_L,0.21453618384026862,0.25095620915874256,0.25075530947802904,0.2837523207455486,gcn
65,Angular_R,0.20884727338304768,0.2423489856255519,0.2540185662446084,0.294785200194879,gcn
66,Precuneus_L,0.2010334727245492,0.2520443514570013,0.2733676189726049,0.2735545772623706,gcn
