roi_idx,roi_name,mlp,cheb,gt,gcn,top_expert
0,Precentral_L,0.23327971949261062,0.24520119674959961,0.21617711882810203,0.3053419792226383,gcn
1,Precentral_R,0.21441770618667408,0.2631038121727048,0.21792398362743612,0.30455450789660826,gcn
2,Frontal_Sup_L,0.2372371457060989,0.27408008733574224,0.22434298709339026,0.2643397886838232,cheb
3,Frontal_Sup_R,0.2244334375979949,0.28574973968218786,0.22583538369864833,0.2639814531620668,cheb
4,Frontal_Sup_Orb_L,0.21152394021652182,0.24142412293930443,0.25178196752557946,0.2952699779855962,gcn
5,Frontal_Sup_Orb_R,0.22408584292445863,0.2616991102695465,0.23694485532385962,0.2772701984765578,gcn
6,Frontal_Mid_L,0.2631831068773659,0.26025236656471173,0.2253822351292688,0.25118230100797145,mlp
7,Frontal_Mid_R,0.24110266277376485,0.2808330674864808,0.21987310903412954,0.25819116693978406,cheb
8,Frontal_Mid_Orb_L,0.24221245655599905,0.22979354554293108,0.25091783580731375,0.2770761728894954,gcn
9,Frontal_Mid_Orb_R,0.24616340821494861,0.24354044864980542,0.23294632973111407,0.27734982541629244,gcn
10,Frontal_Inf_Oper_L,0.25089469658476965,0.24379897376104276,0.2138134215255173,0.2914929221175155,gcn
11,Frontal_Inf_Oper_R,0.24842000038039927,0.2608611199016474,0.22126735275497242,0.2694515322848242,gcn
12,Frontal_Inf_Tri_L,0.2579198500939778,0.23870607647968797,0.22001971228390324,0.28335437224227555,gcn
13,Frontal_Inf_Tri_R,0.24601848073759858,0.26074073266009895,0.21573425783794753,0.27750654229704214,gcn
14,Frontal_Inf_Orb_L,0.25738498507713786,0.24131422140160386,0.21784138846762327,0.28345941904248023,gcn
15,Frontal_Inf_Orb_R,0.2624944512333189,0.2438431493177706,0.2170348690480602,0.2766275418048002,gcn
16,Rolandic_Oper_L,0.20640610751448846,0.25083604728689,0.21534262749613547,0.32741523062696265,gcn
17,Rolandic_Oper_R,0.21303218390260423,0.25365377004657474,0.23722297074843426,0.29609109020354796,gcn
18,Supp_Motor_Area_L,0.22078560125462862,0.24394250782776852,0.2311367269377319,0.3041351685414509,gcn
19,Supp_Motor_Area_R,0.22213096126001708,0.24381247953492768,0.23265531431047284,0.30140125432184767,gcn
20,Olfactory_L,0.18855921437545697,0.2486169598236376,0.26318108031944354,0.2996427576456751,gcn
21,Olfactory_R,0.1868518066345429,0.2428587764805677,0.2718908069085102,0.2983986207721185,gcn
22,Frontal_Sup_Medial_L,0.223752212007435,0.26911449249909847,0.23497061933181723,0.27216268726149384,gcn
23,Frontal_Sup_Medial_R,0.21507950522461716,0.265722067836596,0.2374539601863647,0.28174447633174,gcn
24,Frontal_Mid_Orb_L,0.2021331747575682,0.23232965064900263,0.2673427260347775,0.2981944576818116,gcn
25,Frontal_Mid_Orb_R,0.20600480662316692,0.23263056044067656,0.2686051957461299,0.29275945376376716,gcn
26,Rectus_L,0.2009215248482568,0.24982738388436182,0.2524551071074544,0.29679599693235087,gcn
27,Rectus_R,0.20516948401927948,0.23757855198821243,0.2622845589506383,0.2949674187266097,gcn
28,Insula_L,0.19930723720059104,0.23644855633682135,0.2475803039815961,0.31666391418904677,gcn
29,Insula_R,0.20397664302465868,0.23971146573217547,0.24011069977161836,0.31620120029060206,gcn
30,Cingulum_Ant_L,0.21464087342729374,0.24630565409149444,0.24843099135525373,0.2906224832546954,gcn
31,Cingulum_Ant_R,0.20499949005185342,0.25493788491098246,0.25493643311213476,0.2851262062179799,gcn
32,Cingulum_Mid_L,0.18861060224625528,0.24579642287322453,0.2880951017141342,0.27749788669907316,gt
33,Cingulum_Mid_R,0.19138592010249897,0.2548712250225398,0.2803904041647911,0.2733524651551733,gt
34,Cingulum_Post_L,0.1921711016674431,0.2850625338603039,0.26609254141851346,0.2566738329371627,cheb
35,Cingulum_Post_R,0.19049196553473569,0.2927303849434366,0.2639238823737417,0.25285377794382524,cheb
36,Hippocampus_L,0.17949600867470916,0.2749108304174579,0.2715938480532899,0.27399932684338824,cheb
37,Hippocampus_R,0.19281338231295955,0.29634315596551314,0.2567691232781021,0.25407434847890115,cheb
38,ParaHippocampal_L,0.18468221200972187,0.2729930404801758,0.2443877815896151,0.29793697291490984,gcn
