network,expert,mean_shift,std_shift,positive_count,negative_count,sign_consistency,n_folds
SMN,mlp,-0.012839870127705037,0.012492883096931617,1,3,0.75,4
SMN,cheb,0.0074464772673649565,0.01648871566651747,2,2,0.5,4
SMN,gt,-0.004063067150973959,0.006451799740426898,1,3,0.75,4
SMN,gcn,0.009456459597256134,0.02127352097930931,2,2,0.5,4
DMN,mlp,0.0017507496815586873,0.0021760924391182063,3,1,0.75,4
DMN,cheb,-0.0008490150309655373,0.007959090528863831,1,3,0.75,4
DMN,gt,-0.0019974402251268022,0.004721358692170888,1,3,0.75,4
DMN,gcn,0.0010957070143027825,0.008736179328850813,2,2,0.5,4
FPN,mlp,0.0028819086934963184,0.0005577852359114189,4,0,1.0,4
FPN,cheb,-0.0024173674290921474,0.005493351018465153,1,3,0.75,4
FPN,gt,-0.004012085887561523,0.0017037228360171604,0,4,1.0,4
FPN,gcn,0.0035475443250841537,0.00682371849368108,3,1,0.75,4
DAN,mlp,-0.010850722108842394,0.011362824186662545,1,3,0.75,4
DAN,cheb,0.00838507029802308,0.01344573374469305,3,1,0.75,4
DAN,gt,-0.004994014706372778,0.005091034637315645,1,3,0.75,4
DAN,gcn,0.007459664182992452,0.014313368167594313,2,2,0.5,4
VN,mlp,-0.013250483098909346,0.01108643281161793,1,3,0.75,4
VN,cheb,0.015092407796043268,0.022318295778898566,3,1,0.75,4
VN,gt,-0.006103770130437475,0.013869486138770664,2,2,0.5,4
VN,gcn,0.004261842063158952,0.03286478432464942,1,3,0.75,4
LIN,mlp,0.005371975736283015,0.003334059128255657,4,0,1.0,4
LIN,cheb,-0.0057851626815576054,0.005669308286499665,1,3,0.75,4
LIN,gt,-0.0005009921796079522,0.007528594826041735,3,1,0.75,4
LIN,gcn,0.0009141777925890035,0.014236107811876448,3,1,0.75,4
SBN,mlp,0.0048215507715254555,0.004780799923157192,3,1,0.75,4
SBN,cheb,-0.007278265869843488,0.006566612908162877,1,3,0.75,4
SBN,gt,-0.002297522024286028,0.008373032270767033,2,2,0.5,4
SBN,gcn,0.004754231060885725,0.017526230436350352,3,1,0.75,4
VAN,mlp,-2.0912911600716455e-05,0.007262923995555137,2,2,0.5,4
VAN,cheb,-0.003718639945263426,0.007379609117383513,2,2,0.5,4
VAN,gt,-0.0036377095067192666,0.0040928596524327406,1,3,0.75,4
VAN,gcn,0.0073772618852396485,0.011585305391851597,3,1,0.75,4
CBL,mlp,-0.014324592338335544,0.01204918826614883,0,4,1.0,4
CBL,cheb,0.014669236975795329,0.020179803737533735,3,1,0.75,4
CBL,gt,-0.00667823129422615,0.014858338033652801,2,2,0.5,4
CBL,gcn,0.006333588903310761,0.03795770258899153,1,3,0.75,4
