fold,network,expert,hc_mean,adhd_mean,shift,n_hc,n_adhd
1,SMN,mlp,0.20857140661021809,0.19960705935955042,-0.008964347250667665,81,18
1,SMN,cheb,0.22452156172122484,0.23998992807335323,0.015468366352128393,81,18
1,SMN,gt,0.3214058147536384,0.3181586033768124,-0.003247211376825987,81,18
1,SMN,gcn,0.24550123807088828,0.2422444240914451,-0.0032568139794431905,81,18
1,DMN,mlp,0.20339733527766335,0.203143840862645,-0.000253494415018346,81,18
1,DMN,cheb,0.21042252985047705,0.22123119069470296,0.010808660844225909,81,18
1,DMN,gt,0.29730948621844067,0.2971892191304101,-0.00012026708803059005,81,18
1,DMN,gcn,0.2888706727528278,0.27843577828672195,-0.010434894466105848,81,18
1,FPN,mlp,0.20675700351043982,0.20985746383666992,0.003100460326230098,81,18
1,FPN,cheb,0.19337686749152194,0.198448268075784,0.005071400584262059,81,18
1,FPN,gt,0.3280990955270367,0.32615046368704903,-0.001948631839987669,81,18
1,FPN,gcn,0.2717670586742001,0.2655438284079234,-0.006223230266276691,81,18
1,DAN,mlp,0.1886239618430903,0.17977351033025313,-0.00885045151283717,81,18
1,DAN,cheb,0.2190013974905014,0.23486560334761933,0.015864205857117925,81,18
1,DAN,gt,0.33510221228187465,0.3282737036546071,-0.006828508627267527,81,18
1,DAN,gcn,0.25727244972446817,0.25708719425731236,-0.00018525546715580932,81,18
1,VN,mlp,0.18343879926351853,0.17305502957767907,-0.010383769685839456,81,18
1,VN,cheb,0.21301431825131545,0.23000870396693548,0.016994385715620036,81,18
1,VN,gt,0.3220286994804571,0.32768184940020245,0.005653149919745359,81,18
1,VN,gcn,0.2815182153825407,0.2692544336120288,-0.012263781770511906,81,18
1,LIN,mlp,0.18283691781538505,0.19210617078675163,0.009269252971366576,81,18
1,LIN,cheb,0.21935822860694226,0.22156282348765263,0.00220459488071037,81,18
1,LIN,gt,0.3103389732631636,0.31715865598784554,0.006819682724681919,81,18
1,LIN,gcn,0.2874659038620231,0.26917237374517655,-0.018293530116846535,81,18
